time_s,pos_x,pos_y
0.0,-0.00010476447641849518,-2.222320472355932e-05
0.01,0.00013351254165172577,-3.080920214415528e-05
0.02,0.000574769452214241,-6.133188435342163e-05
0.03,0.001211000606417656,-0.00013417302398011088
0.04,0.0020480696111917496,-0.0003510135575197637
0.05,0.003107907250523567,-0.0006033695535734296
0.06,0.004396174103021622,-0.0009297344950027764
0.07,0.005722871050238609,-0.0012944418704137206
0.08,0.007130671292543411,-0.002131267450749874
0.09,0.008485328406095505,-0.0025768885388970375
0.1,0.009775478392839432,-0.0026441598311066628
0.11,0.011194011196494102,-0.0024160961620509624
0.12,0.012549690902233124,-0.0018739958759397268
0.13,0.013822091743350029,-0.0009718278306536376
0.14,0.015285156667232513,-0.00035676348488777876
0.15,0.016715100035071373,0.0009882284794002771
0.16,0.01849445141851902,0.002342694904655218
0.17,0.02055690623819828,0.0030512004159390926
0.18,0.022674283012747765,0.003945180214941502
0.19,0.025043100118637085,0.004093036986887455
0.2,0.02743551880121231,0.004606446251273155
0.21,0.02993994764983654,0.005471772514283657
0.22,0.032979339361190796,0.005683545488864183
0.23,0.036091048270463943,0.006290963850915432
0.24,0.03948710113763809,0.007467900402843952
0.25,0.043415360152721405,0.008413227275013924
0.26,0.04716560244560242,0.009486760944128036
0.27,0.051108404994010925,0.0104446392506361
0.28,0.055137090384960175,0.010945523157715797
0.29,0.05928590148687363,0.011242970824241638
0.3,0.06340798735618591,0.012222640216350555
0.31,0.06765151023864746,0.013112740591168404
0.32,0.07224035263061523,0.014212962239980698
0.33,0.07660973072052002,0.015603305771946907
0.34,0.08110616356134415,0.016918063163757324
0.35,0.0860617607831955,0.01826302334666252
0.36,0.09127143770456314,0.019944140687584877
0.37,0.09662425518035889,0.021459482610225677
0.38,0.10233667492866516,0.02266942523419857
0.39,0.10798699408769608,0.02531317248940468
0.4,0.11358186602592468,0.028123939409852028
0.41,0.11926247924566269,0.030692730098962784
0.42,0.12492581456899643,0.03374170511960983
0.43,0.130991593003273,0.03621271625161171
0.44,0.1372191458940506,0.038164231926202774
0.45,0.1434791535139084,0.0401051864027977
0.46,0.14981141686439514,0.042176149785518646
0.47,0.15668149292469025,0.04470159113407135
0.48,0.16354653239250183,0.04740316793322563
0.49,0.1709555983543396,0.04916314780712128
0.5,0.17859208583831787,0.050444260239601135
0.51,0.18637467920780182,0.052211012691259384
0.52,0.1939464509487152,0.054377004504203796
0.53,0.20123633742332458,0.05730168893933296
0.54,0.2086457461118698,0.06035728380084038
0.55,0.21605335175991058,0.06331958621740341
0.56,0.22403448820114136,0.06621859222650528
0.57,0.23231054842472076,0.06893511861562729
0.58,0.24049274623394012,0.07265531271696091
0.59,0.24849922955036163,0.07685595005750656
0.6,0.2571648359298706,0.07996444404125214
0.61,0.26595720648765564,0.08252734690904617
0.62,0.27460524439811707,0.08504164963960648
0.63,0.2833690941333771,0.08726666867733002
0.64,0.29202714562416077,0.08953684568405151
0.65,0.3005296289920807,0.09214425832033157
0.66,0.309532105922699,0.09412391483783722
0.67,0.3186613917350769,0.09622322767972946
0.68,0.32767412066459656,0.09905513375997543
0.69,0.3369923233985901,0.10147733986377716
0.7,0.3465426564216614,0.10338310152292252
0.71,0.3560501039028168,0.10592356324195862
0.72,0.36512479186058044,0.10939963161945343
0.73,0.37397485971450806,0.11280782520771027
0.74,0.3825891613960266,0.11686504632234573
0.75,0.39130204916000366,0.12087447941303253
0.76,0.4003841280937195,0.12498262524604797
0.77,0.4094361662864685,0.12925678491592407
0.78,0.4186480641365051,0.1333674043416977
0.79,0.42784392833709717,0.13784939050674438
0.8,0.43727099895477295,0.14242278039455414
0.81,0.4471299946308136,0.14647309482097626
0.82,0.45716339349746704,0.15033915638923645
0.83,0.4668651223182678,0.15453298389911652
0.84,0.47640377283096313,0.15866273641586304
0.85,0.48576632142066956,0.1628846824169159
0.86,0.49518951773643494,0.1670568734407425
0.87,0.5044832229614258,0.17129585146903992
0.88,0.5138016939163208,0.17587576806545258
0.89,0.5232164859771729,0.18068373203277588
0.9,0.532747209072113,0.18499328196048737
0.91,0.5422800183296204,0.18939435482025146
0.92,0.5517330169677734,0.19405019283294678
0.93,0.5611987113952637,0.1991022825241089
0.94,0.5703490376472473,0.20451736450195312
0.95,0.579345166683197,0.20978939533233643
0.96,0.5887255072593689,0.21462857723236084
0.97,0.5987747311592102,0.21888203918933868
0.98,0.6080839037895203,0.224251389503479
0.99,0.6170786023139954,0.230085551738739
1.0,0.6264291405677795,0.23568223416805267
1.01,0.6358374953269958,0.24112597107887268
1.02,0.6450644731521606,0.24676714837551117
1.03,0.6540580987930298,0.25266730785369873
1.04,0.6638849973678589,0.2578791677951813
1.05,0.6734111905097961,0.26320064067840576
1.06,0.6829209327697754,0.2685120701789856
1.07,0.6922410726547241,0.27436181902885437
1.08,0.700931191444397,0.2812612056732178
1.09,0.7097229957580566,0.28806445002555847
1.1,0.7188794016838074,0.2943386733531952
1.11,0.7287123203277588,0.3001497983932495
1.12,0.7385837435722351,0.30594950914382935
1.13,0.7487795948982239,0.3115730285644531
1.14,0.758262038230896,0.3178088963031769
1.15,0.7676251530647278,0.32387474179267883
1.16,0.7767325639724731,0.3300568163394928
1.17,0.7860767245292664,0.33583083748817444
1.18,0.795813798904419,0.34156712889671326
1.19,0.8053953647613525,0.3476228713989258
1.2,0.814903736114502,0.3536701500415802
1.21,0.8235956430435181,0.36095359921455383
1.22,0.832247793674469,0.3680438697338104
1.23,0.8408553004264832,0.3750949501991272
1.24,0.8497675061225891,0.38195934891700745
1.25,0.8588207364082336,0.3885255753993988
1.26,0.8681654334068298,0.39462393522262573
1.27,0.8775538206100464,0.40071696043014526
1.28,0.8865653276443481,0.407124787569046
1.29,0.8952075242996216,0.4138401448726654
1.3,0.9039758443832397,0.42042073607444763
1.31,0.9129276275634766,0.4270007014274597
1.32,0.921670138835907,0.43403953313827515
1.33,0.9308042526245117,0.440887451171875
1.34,0.93940269947052,0.4483356773853302
1.35,0.9480956792831421,0.4556860327720642
1.36,0.9567607641220093,0.46293073892593384
1.37,0.9656951427459717,0.46989887952804565
1.38,0.974665105342865,0.47660142183303833
1.39,0.9834165573120117,0.48349857330322266
1.4,0.9914169311523438,0.49110132455825806
1.41,0.9998424649238586,0.49849021434783936
1.42,1.0079036951065063,0.5063900351524353
1.43,1.0161954164505005,0.5141943693161011
1.44,1.0245163440704346,0.5217633843421936
1.45,1.0323712825775146,0.5294472575187683
1.46,1.0408880710601807,0.5366614460945129
1.47,1.0497781038284302,0.5436108708381653
1.48,1.0587579011917114,0.5504674315452576
1.49,1.06785249710083,0.5574997067451477
1.5,1.0764037370681763,0.5652459263801575
1.51,1.0831955671310425,0.574189305305481
1.52,1.08978271484375,0.5829181671142578
1.53,1.0964595079421997,0.5913281440734863
1.54,1.1041529178619385,0.599047064781189
1.55,1.1120561361312866,0.6063957810401917
1.56,1.1198967695236206,0.6138056516647339
1.57,1.1278349161148071,0.6210925579071045
1.58,1.136551022529602,0.6281824707984924
1.59,1.1452778577804565,0.6353583931922913
1.6,1.153362512588501,0.6430275440216064
1.61,1.160526156425476,0.6512989401817322
1.62,1.168177843093872,0.6595128774642944
1.63,1.175718069076538,0.667694628238678
1.64,1.182425618171692,0.6764447689056396
1.65,1.1891744136810303,0.685228705406189
1.66,1.1960573196411133,0.693796694278717
1.67,1.203321933746338,0.7021984457969666
1.68,1.2107897996902466,0.7102113962173462
1.69,1.2186046838760376,0.7181488871574402
1.7,1.2262301445007324,0.7261447310447693
1.71,1.2333353757858276,0.7342502474784851
1.72,1.2405121326446533,0.7425185441970825
1.73,1.248230218887329,0.7509254813194275
1.74,1.2549962997436523,0.7601339221000671
1.75,1.2609070539474487,0.7696438431739807
1.76,1.2668427228927612,0.7788718938827515
1.77,1.2726383209228516,0.7880264520645142
1.78,1.2785215377807617,0.7969251275062561
1.79,1.285626769065857,0.8053728342056274
1.8,1.2936733961105347,0.8135722279548645
1.81,1.3013365268707275,0.8218445777893066
1.82,1.3079593181610107,0.8303794264793396
1.83,1.3144268989562988,0.8389883637428284
1.84,1.3211923837661743,0.8476366400718689
1.85,1.3281428813934326,0.8564194440841675
