time_s,pos_x,pos_y
0.0,5.720183253288269e-06,-1.08484073280124e-05
0.01,0.0004311874508857727,-2.5260687834816054e-06
0.02,0.0009545590728521347,6.165827926452039e-06
0.03,0.0015998724848031998,3.7472644180525094e-05
0.04,0.002373823896050453,0.0003898169088643044
0.05,0.003373410552740097,-0.00060287956148386
0.06,0.004434041678905487,-0.0016343853203579783
0.07,0.0054258741438388824,-0.002247824566438794
0.08,0.006270799785852432,-0.0026186727918684483
0.09,0.007107488811016083,-0.0027138609439134598
0.1,0.008118312805891037,-0.0021808892488479614
0.11,0.009563244879245758,-0.0011284502688795328
0.12,0.011067243292927742,-2.9039336368441582e-05
0.13,0.012551823630928993,0.0008900264510884881
0.14,0.014072081074118614,0.0023329653777182102
0.15,0.01567312516272068,0.003907463978976011
0.16,0.01753552071750164,0.005064224824309349
0.17,0.019792018458247185,0.005461739841848612
0.18,0.022177182137966156,0.005268537905067205
0.19,0.02460337057709694,0.004819661844521761
0.2,0.0270285215228796,0.004331262316554785
0.21,0.029671387746930122,0.0028402465395629406
0.22,0.03244154527783394,0.0007183256675489247
0.23,0.03551628440618515,-0.0011935336515307426
0.24,0.03872440382838249,-0.0022849251981824636
0.25,0.04202890396118164,-0.002741237636655569
0.26,0.045392490923404694,-0.002831221092492342
0.27,0.0487486869096756,-0.002966390922665596
0.28,0.052382245659828186,-0.0031421612948179245
0.29,0.056078631430864334,-0.0031415142584592104
0.3,0.059823766350746155,-0.0030423393473029137
0.31,0.06353460997343063,-0.00308168469928205
0.32,0.06750422716140747,-0.0023964433930814266
0.33,0.0715721845626831,-0.0009613783331587911
0.34,0.07579384744167328,0.00045191857498139143
0.35,0.080223947763443,0.0006567830569110811
0.36,0.08471445739269257,8.085492299869657e-05
0.37,0.08917729556560516,-0.0009767574956640601
0.38,0.09368270635604858,-0.0020034555345773697
0.39,0.09826968610286713,-0.003112704958766699
0.4,0.10291005671024323,-0.002815432380884886
0.41,0.1075473502278328,-0.0015971618704497814
0.42,0.11223123222589493,-0.00015104352496564388
0.43,0.11700080335140228,0.00022719678236171603
0.44,0.12177787721157074,-0.0002879941603168845
0.45,0.12655387818813324,-0.00144999660551548
0.46,0.13124492764472961,-0.002402291400358081
0.47,0.13591016829013824,-0.0027986690402030945
0.48,0.14071452617645264,-0.0032130966428667307
0.49,0.14557939767837524,-0.0035106244031339884
0.5,0.15067975223064423,-0.0030681006610393524
0.51,0.15587392449378967,-0.002391921356320381
0.52,0.1610877960920334,-0.002477104775607586
0.53,0.16637259721755981,-0.002566956216469407
0.54,0.17155492305755615,-0.002825621049851179
0.55,0.17657744884490967,-0.0031316676177084446
0.56,0.18153852224349976,-0.002388585591688752
0.57,0.18661195039749146,-0.0017506337026134133
0.58,0.1916702836751938,-0.0021621976047754288
0.59,0.19675849378108978,-0.0032344830688089132
0.6,0.20194858312606812,-0.004417561925947666
0.61,0.20733857154846191,-0.00540272518992424
0.62,0.21276533603668213,-0.005207825917750597
0.63,0.21812587976455688,-0.004160602577030659
0.64,0.22359348833560944,-0.0032931985333561897
0.65,0.22897851467132568,-0.0025239295791834593
0.66,0.23433181643486023,-0.00205743545666337
0.67,0.23963084816932678,-0.002495556604117155
0.68,0.2449704110622406,-0.002956702606752515
0.69,0.25038161873817444,-0.0035861358046531677
0.7,0.2558012306690216,-0.004229133483022451
0.71,0.26107901334762573,-0.0042229206301271915
0.72,0.2662322521209717,-0.0026974023785442114
0.73,0.27146777510643005,-0.0014302616473287344
0.74,0.2768062949180603,-0.000941986741963774
0.75,0.2820541262626648,-0.00042920903069898486
0.76,0.28721487522125244,-0.000558083935175091
0.77,0.2923769950866699,-0.001196736586280167
0.78,0.2974834144115448,-0.0008330977871082723
0.79,0.3027024567127228,-0.0003681204398162663
0.8,0.3080337643623352,-0.0007122674724087119
0.81,0.3133944272994995,-0.0008432775503024459
0.82,0.31878358125686646,-0.0009903894970193505
0.83,0.32405978441238403,-0.001002224744297564
0.84,0.3293446898460388,-0.0008839943911880255
0.85,0.3345879316329956,0.00035920448135584593
0.86,0.33990350365638733,0.0017826457042247057
0.87,0.34537553787231445,0.0023462490644305944
0.88,0.3508633077144623,0.001986793242394924
0.89,0.3561902642250061,0.0012499158037826419
0.9,0.36145123839378357,0.0008585667819716036
0.91,0.3666500747203827,0.0009483661851845682
0.92,0.37195146083831787,0.000998900504782796
0.93,0.37728604674339294,0.0021045231260359287
0.94,0.3826684057712555,0.003890657564625144
0.95,0.38810303807258606,0.004601696506142616
0.96,0.39340320229530334,0.005134108476340771
0.97,0.3985845744609833,0.005122588947415352
0.98,0.40379148721694946,0.004628179129213095
0.99,0.4090786278247833,0.0043977610766887665
1.0,0.4143815040588379,0.00525086373090744
1.01,0.41972771286964417,0.006007489748299122
1.02,0.42496806383132935,0.006896212697029114
1.03,0.4301222860813141,0.0073858024552464485
1.04,0.43527737259864807,0.0071065789088606834
1.05,0.44046810269355774,0.00655331090092659
1.06,0.44577494263648987,0.0060295951552689075
1.07,0.4512457251548767,0.005757268983870745
1.08,0.4569329023361206,0.00562695786356926
1.09,0.46279120445251465,0.005614557769149542
1.1,0.46853771805763245,0.006763503421097994
1.11,0.47417131066322327,0.008180814795196056
1.12,0.4796973764896393,0.009291830472648144
1.13,0.48513177037239075,0.00929177924990654
1.14,0.49045079946517944,0.008599800057709217
1.15,0.49578428268432617,0.00784082617610693
1.16,0.5010494589805603,0.008234088309109211
1.17,0.5063033103942871,0.008984810672700405
1.18,0.5115454196929932,0.00969658512622118
1.19,0.5167324542999268,0.009480119682848454
1.2,0.5219036936759949,0.008314762264490128
1.21,0.527194082736969,0.00720552820712328
1.22,0.5324816107749939,0.007372171618044376
1.23,0.5378032326698303,0.00849218014627695
1.24,0.543170690536499,0.010224107652902603
1.25,0.5484203100204468,0.011860090307891369
1.26,0.5535736083984375,0.012371894903481007
1.27,0.5587195754051208,0.011606483720242977
1.28,0.5640153288841248,0.010436000302433968
1.29,0.569366455078125,0.009329458698630333
1.3,0.57486492395401,0.009104887023568153
1.31,0.5803493857383728,0.010067504830658436
1.32,0.5857455730438232,0.011202525347471237
1.33,0.5910019874572754,0.012462089769542217
1.34,0.596150279045105,0.012677224352955818
1.35,0.6012981534004211,0.011957232840359211
1.36,0.6065812706947327,0.011096280068159103
1.37,0.6120193600654602,0.010682210326194763
1.38,0.6175636649131775,0.01141877006739378
1.39,0.6230759620666504,0.013079003430902958
1.4,0.6285486817359924,0.014788467437028885
1.41,0.6338844299316406,0.015391645021736622
1.42,0.6390224099159241,0.0154853705316782
1.43,0.6442157626152039,0.015538140200078487
1.44,0.6495100855827332,0.015898486599326134
1.45,0.6548917889595032,0.01720901019871235
1.46,0.66032874584198,0.018441610038280487
1.47,0.6658273935317993,0.019253725185990334
1.48,0.6713076829910278,0.019928012043237686
1.49,0.6766560673713684,0.02102121151983738
1.5,0.6820019483566284,0.021645911037921906
1.51,0.6873352527618408,0.022268196567893028
1.52,0.6925035715103149,0.02253521978855133
1.53,0.6975842118263245,0.022401245310902596
1.54,0.7026874423027039,0.022167395800352097
1.55,0.7079258561134338,0.022814329713582993
1.56,0.7132092714309692,0.024503715336322784
1.57,0.7186560034751892,0.026044480502605438
1.58,0.7240817546844482,0.02718573994934559
1.59,0.7295504808425903,0.027316667139530182
1.6,0.7350999712944031,0.027186721563339233
1.61,0.7407116293907166,0.027554847300052643
1.62,0.7461467385292053,0.02783047966659069
1.63,0.7513925433158875,0.027188986539840698
1.64,0.7566521167755127,0.02613290399312973
1.65,0.7619497179985046,0.024747861549258232
1.66,0.7673759460449219,0.02379881776869297
1.67,0.7728216648101807,0.023773424327373505
1.68,0.7782818675041199,0.02454148419201374
1.69,0.7836694121360779,0.025722242891788483
1.7,0.7889358401298523,0.02668209746479988
1.71,0.7940383553504944,0.02740522474050522
1.72,0.7991101741790771,0.02812427468597889
1.73,0.8041176199913025,0.028408514335751534
1.74,0.8090178370475769,0.02760712057352066
1.75,0.8140481114387512,0.026370137929916382
1.76,0.8193328380584717,0.02586963027715683
1.77,0.8246963620185852,0.026235133409500122
1.78,0.8301199674606323,0.02608107402920723
1.79,0.835425853729248,0.026743929833173752
1.8,0.8405439853668213,0.02800443209707737
1.81,0.8455002903938293,0.029300164431333542
1.82,0.8502795100212097,0.03044169954955578
1.83,0.8550865054130554,0.031410425901412964
1.84,0.8599222898483276,0.032275259494781494
1.85,0.8649420738220215,0.0323389396071434
1.86,0.8699877858161926,0.03246236592531204
1.87,0.8750919699668884,0.03258603811264038
1.88,0.880098283290863,0.03208892047405243
1.89,0.8850134611129761,0.031733982264995575
1.9,0.889985203742981,0.031712647527456284
1.91,0.8950526118278503,0.03177904337644577
1.92,0.9002205729484558,0.03231937438249588
1.93,0.905430018901825,0.032588474452495575
1.94,0.910676121711731,0.03223882615566254
1.95,0.9158912897109985,0.03137362748384476
1.96,0.9209743738174438,0.03148101642727852
1.97,0.9260565042495728,0.03175625950098038
1.98,0.9310262799263,0.032237980514764786
1.99,0.935990571975708,0.033053919672966
2.0,0.9409938454627991,0.03367036208510399
2.01,0.9460874795913696,0.03393371403217316
2.02,0.9513812065124512,0.03372005373239517
2.03,0.9566106796264648,0.03351866081357002
2.04,0.9617918729782104,0.033948011696338654
2.05,0.9669084548950195,0.03434838354587555
2.06,0.9718331694602966,0.03459285944700241
2.07,0.9765855073928833,0.03484463691711426
2.08,0.9813429117202759,0.035023052245378494
2.09,0.9861680269241333,0.034765515476465225
2.1,0.9910076260566711,0.03500068187713623
2.11,0.9960101842880249,0.035163797438144684
2.12,1.0010300874710083,0.035211965441703796
2.13,1.0060992240905762,0.03496939688920975
2.14,1.0110578536987305,0.03499184176325798
2.15,1.0159062147140503,0.035406652837991714
2.16,1.0206938982009888,0.03694835677742958
2.17,1.0257400274276733,0.03803693503141403
2.18,1.030935525894165,0.03780340403318405
2.19,1.0362132787704468,0.03701145201921463
2.2,1.041577696800232,0.03611946478486061
2.21,1.0468899011611938,0.035205066204071045
2.22,1.0522035360336304,0.03491150587797165
2.23,1.057447075843811,0.035227011889219284
2.24,1.0627208948135376,0.035771287977695465
2.25,1.0679234266281128,0.036588698625564575
2.26,1.0731524229049683,0.0361059233546257
2.27,1.0782945156097412,0.03512648865580559
2.28,1.0832713842391968,0.03443856164813042
2.29,1.088150978088379,0.03448951616883278
2.3,1.0929933786392212,0.03455107659101486
2.31,1.097715139389038,0.035130102187395096
2.32,1.1023917198181152,0.03582633286714554
2.33,1.1071617603302002,0.035244304686784744
2.34,1.1121059656143188,0.03368154913187027
2.35,1.117186188697815,0.032604116946458817
2.36,1.1221503019332886,0.0326397679746151
2.37,1.1270138025283813,0.03342814743518829
2.38,1.1317633390426636,0.03461665287613869
2.39,1.1364517211914062,0.035727884620428085
2.4,1.1411243677139282,0.036318518221378326
2.41,1.1457135677337646,0.03741159290075302
2.42,1.150363802909851,0.03841553255915642
2.43,1.1553030014038086,0.03794232755899429
2.44,1.1603455543518066,0.036908190697431564
2.45,1.1655501127243042,0.03618186339735985
2.46,1.1708195209503174,0.03569360449910164
2.47,1.1760843992233276,0.03523837402462959
2.48,1.1812024116516113,0.03555687144398689
2.49,1.1861613988876343,0.036529459059238434
2.5,1.1909414529800415,0.03806927800178528
2.51,1.1956433057785034,0.039089616388082504
2.52,1.2003215551376343,0.03925633057951927
2.53,1.2050813436508179,0.039275653660297394
2.54,1.2099531888961792,0.03935052081942558
2.55,1.2149600982666016,0.040200285613536835
2.56,1.219948649406433,0.041924454271793365
2.57,1.2250175476074219,0.042955294251441956
2.58,1.2300115823745728,0.043019626289606094
2.59,1.2349344491958618,0.04254264384508133
2.6,1.2399119138717651,0.04170084744691849
